Mass,Num_Transformations
223.061217,5
223.097606,3
224.092836,3
222.077217,2
240.051361,4
223.064578,3
224.056457,5
208.061603,4
224.056513,4
220.061554,2
222.040799,6
221.048924,3
223.024834,1
221.081961,5
192.06669,3
219.077537,1
223.072492,1
221.009167,3
219.069657,2
